Salesforce Account Name,Simplified Platform Tier,Account Type,Is Ela Subscription,Is Pbf,Account Connections Cost,Account DLW Cost,Account Annualized Cost,Annualized Revenue,Account Cost Margin,# of Syncing Connections,Total Donkey Runtime (hrs),Minimum ARR (70% Margin - Compute),Ideal ARR (95% Margin - Compute),Account Connections Cost (Grand Total),Account DLW Cost (Grand Total),Account Annualized Cost (Grand Total),Annualized Revenue (Grand Total),Account Cost Margin (Grand Total),# of Syncing Connections (Grand Total),Total Donkey Runtime (hrs) (Grand Total),Minimum ARR (70% Margin - Compute) (Grand Total),Ideal ARR (95% Margin - Compute) (Grand Total)
Prescient,Standard,Customer,false,true,77266.19663876826,0.0,77266.19663876826,111121.80000000012,0.30467112088925685,1102,85190.54733527778,257553.98879589423,1545323.9327753652,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Irvine Company - BCF Account,BCF,Customer,false,false,76082.97713521255,0.0,76082.97713521255,19555.56,-2.890605901094755,5,1897.4675394444441,253609.92378404186,1521659.542704251,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Mara_Care_AG,Enterprise,Customer,false,false,75063.82216169406,0.0,75063.82216169406,480.36000000000007,-155.26576351422693,4,503.0337666666665,250212.7405389802,1501276.4432338811,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
DP World,,Customer,true,false,72356.19469137196,0.0,72356.19469137196,599864.2181173264,0.8793790452805106,352,7773.959839166669,241187.31563790655,1447123.893827439,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
SEPTEO,Enterprise,Customer,false,false,71376.199527038,0.0,71376.199527038,88488.72,0.19338646183335007,42,9971.636217222222,237920.66509012668,1427523.9905407599,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
INCUBETA UK LIMITED,,Customer,true,true,71220.55242695447,0.0,71220.55242695447,344400.7803783647,0.7932044394652349,1144,38337.661773611035,237401.84142318158,1424411.0485390893,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Data_trackers,Freemium,Prospect,false,false,70635.25313990744,0.0,70635.25313990744,0.0,,1789,6579.648588611115,235450.84379969147,1412705.0627981487,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
IFCO SYSTEMS,BCF,Customer,false,false,70373.50552918603,0.0,70373.50552918603,12.12,-5805.394845642412,2,1.8068605555555552,234578.35176395345,1407470.1105837205,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
First American Financial Corporation,,Customer,true,false,67621.1564674332,0.0,67621.1564674332,249999.99999599994,0.7295153741259394,66,16251.41669583333,225403.85489144403,1352423.129348664,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Numeric,,Customer,true,true,66968.31679891527,0.0,66968.31679891527,117736.53492175583,0.43120190480023546,128,22189.129478611118,223227.72266305092,1339366.3359783054,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Wealthsimple Technologies Inc,,Customer,true,false,66290.25823911936,0.0,66290.25823911936,699999.9599999996,0.9052996256755224,349,15004.523898333322,220967.5274637312,1325805.164782387,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Seismic Software Inc.,Enterprise,Customer,false,true,65252.5912104263,0.0,65252.5912104263,190504.44,0.6574746960730873,1019,28913.608407499964,217508.63736808766,1305051.824208526,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
First Hawaiian Bank,,Customer,true,false,64366.06789760553,26.623105007655486,64392.69100261318,257098.07999999964,0.7495403660633588,1028,9876.92598583333,214642.30334204395,1287853.8200522636,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
PowerSchool Group LLC,BCF,Customer,false,false,64234.45580661613,0.0,64234.45580661613,625755.7199999997,0.8973489913817869,302,11624.687381111104,214114.85268872045,1284689.1161323227,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
WorkWave,,Customer,true,false,63573.509164628,0.0,63573.509164628,178500.0000000001,0.6438458870328965,1278,21277.483928611095,211911.69721542666,1271470.1832925598,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
AstraZeneca UK Ltd,BCF,Customer,false,false,25558.56225578766,37429.20406469821,62987.76632048594,620337.4800000003,0.898462097888256,903,7970.572092499992,209959.22106828648,1259755.3264097187,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
HS Plus @Vigoshop,Standard,Customer,false,false,62495.20196079693,0.0,62495.20196079693,88166.64000000001,0.29116951762257337,585,41195.473869722235,208317.3398693231,1249904.0392159384,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Canva Pty Ltd,,Customer,true,false,62423.99178175035,0.0,62423.99178175035,599118.7265310576,0.8958069761177556,684,16109.146364166658,208079.9726058345,1248479.835635007,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
WebPT,,Customer,true,false,5715.56930801725,54984.136090720924,60699.705398738166,224999.99999999997,0.7302235315611636,30,2755.6958724999995,202332.35132912724,1213994.1079747633,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Bonfiglioli SPA,Enterprise,Customer,false,false,0.0,60173.42267867898,60173.42267867898,14414.28,-3.1745701261997805,2,180.887645,200578.0755955966,1203468.4535735794,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Commonwealth Financial Network,BCF,Customer,false,false,0.0,59879.35373493956,59879.35373493956,9418.44,-5.357672155361138,4,353.6979455555556,199597.8457831319,1197587.0746987911,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Jaris, Inc.",Enterprise,Customer,false,false,250.2700141405709,58892.94579723584,59143.21581137641,87924.93998730896,0.32734425727315697,30,6984.868580000001,197144.05270458804,1182864.316227528,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Azenta,Enterprise,Customer,false,false,58856.963074235704,0.0,58856.963074235704,97690.08000000009,0.39751341104198445,285,4911.928575833331,196189.87691411903,1177139.261484714,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Renesas Electronics,BCF,Customer,false,false,58510.011940499615,0.0,58510.011940499615,330622.55999999994,0.8230307939648775,60,1976.198756111112,195033.37313499872,1170200.2388099923,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
5xData,Enterprise,Customer,false,true,52830.24486260456,4390.9785180342105,57221.22338063881,192201.9599999999,0.7022859528558458,774,30560.30653833336,190737.41126879604,1144424.4676127762,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"NextGen, Inc.",,Customer,true,false,56540.295831320334,0.0,56540.295831320334,986323.6673568047,0.9426757182225591,1078,5962.633206666668,188467.65277106778,1130805.9166264066,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Gilion,Standard,Customer,false,true,55909.25713826727,0.0,55909.25713826727,27526.43999999999,-1.0311110749616472,1005,10971.38467194445,186364.1904608909,1118185.1427653453,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Scale AI,Standard,Customer,false,false,54482.091121422345,0.0,54482.091121422345,78699.84000000005,0.30772297476815313,1189,11120.64591805556,181606.97040474115,1089641.8224284467,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Huhtamaki,Enterprise,Customer,false,false,0.0,54473.83510670278,54473.83510670278,15531.96,-2.5072093352482745,7,232.80152666666675,181579.45035567594,1089476.7021340556,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Saks.com, LLC",Enterprise,Customer,false,false,52592.60674493521,0.0,52592.60674493521,378918.95999999996,0.8612035493158346,189,20707.441494166676,175308.68914978404,1051852.1348987042,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Firehouse_Technology,Enterprise,Customer,false,false,0.0,51259.21911191004,51259.21911191004,3506.76,-13.617258983195324,52,15140.801106111112,170864.0637063668,1025184.3822382007,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Mozart Data,Enterprise,Customer,false,true,50268.830124355976,0.0,50268.830124355976,313132.08000000037,0.8394644517918576,1707,17681.976129722196,167562.76708118658,1005376.6024871195,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
